session,cluster_id,cell_type,in_ripple_rate_hz,out_ripple_rate_hz,modulation,participation_frac
dec3_dHPC,0,pyramidal-like,9.14,8.056,1.135,0.408
dec3_dHPC,9,interneuron-like,81.018,22.054,3.674,0.982
dec3_dHPC,21,interneuron-like,16.521,8.862,1.864,0.489
dec3_dHPC,23,pyramidal-like,0.816,1.294,0.631,0.032
dec3_dHPC,76,pyramidal-like,7.468,10.251,0.729,0.327
dec3_dHPC,80,pyramidal-like,40.584,11.978,3.388,0.929
dec3_dHPC,101,pyramidal-like,3.263,1.825,1.788,0.15
dec3_dHPC,102,interneuron-like,35.933,18.251,1.969,0.78
dec3_dHPC,110,pyramidal-like,0.712,0.403,1.767,0.03
dec3_dHPC,111,pyramidal-like,2.44,1.942,1.257,0.087
dec3_dHPC,112,interneuron-like,29.399,9.853,2.984,0.584
dec3_dHPC,118,pyramidal-like,0.987,0.879,1.123,0.045
dec3_dHPC,119,pyramidal-like,0.825,1.156,0.714,0.038
dec3_dHPC,120,pyramidal-like,1.436,2.354,0.61,0.068
dec3_dHPC,157,pyramidal-like,3.888,4.238,0.917,0.195
dec3_dHPC,158,interneuron-like,11.107,13.01,0.854,0.402
dec3_dHPC,160,pyramidal-like,0.308,0.284,1.087,0.016
dec3_dHPC,168,pyramidal-like,0.966,0.79,1.223,0.045
dec3_dHPC,169,pyramidal-like,0.248,0.637,0.39,0.012
dec3_dHPC,173,interneuron-like,23.917,7.932,3.015,0.539
dec3_dHPC,174,pyramidal-like,0.766,1.741,0.44,0.029
dec3_dHPC,175,pyramidal-like,2.446,0.765,3.199,0.081
dec3_dHPC,177,interneuron-like,32.138,13.816,2.326,0.697
dec3_dHPC,178,interneuron-like,11.738,4.483,2.619,0.388
dec3_dHPC,181,pyramidal-like,0.643,0.484,1.327,0.027
dec3_dHPC,182,pyramidal-like,3.308,2.248,1.471,0.17
dec3_dHPC,183,pyramidal-like,1.412,1.14,1.238,0.061
dec3_dHPC,187,interneuron-like,27.804,9.04,3.076,0.623
dec3_dHPC,191,interneuron-like,30.523,11.599,2.632,0.702
dec4_dHPC,0,pyramidal-like,6.628,4.793,1.383,0.328
dec4_dHPC,78,pyramidal-like,0.747,0.571,1.31,0.03
dec4_dHPC,82,pyramidal-like,5.39,5.538,0.973,0.265
dec4_dHPC,86,pyramidal-like,2.276,1.589,1.432,0.105
dec4_dHPC,90,interneuron-like,9.701,10.799,0.898,0.354
dec4_dHPC,104,interneuron-like,25.851,8.202,3.152,0.531
dec4_dHPC,109,pyramidal-like,0.259,0.144,1.791,0.013
dec4_dHPC,113,pyramidal-like,0.941,1.002,0.939,0.035
dec4_dHPC,125,pyramidal-like,3.417,1.392,2.454,0.136
dec4_dHPC,126,interneuron-like,30.078,12.428,2.42,0.686
dec4_dHPC,130,pyramidal-like,0.153,0.073,2.101,0.008
dec4_dHPC,135,interneuron-like,23.36,7.161,3.262,0.537
dec4_dHPC,137,interneuron-like,27.686,9.861,2.808,0.656
dec4_dHPC,139,pyramidal-like,10.903,9.786,1.114,0.397
dec4_dHPC,149,interneuron-like,26.476,9.386,2.821,0.634
