reference_mode,condition,amplitude,frequency,analysis_group,n_channels,driven_log2_power_change
analysis_group_median,amp100_freq26,100,26,Group 0-31,29,0.06156311385329088
analysis_group_median,amp100_freq26,100,26,Group 32-63,28,0.06115217977193322
analysis_group_median,amp100_freq26,100,26,Group 64-95,30,0.010299044307153152
analysis_group_median,amp100_freq26,100,26,Group 96-127,32,0.0423670901766569
analysis_group_median,amp100_freq5,100,5,Group 0-31,29,-0.12454952496661688
analysis_group_median,amp100_freq5,100,5,Group 32-63,28,-0.11090486967696098
analysis_group_median,amp100_freq5,100,5,Group 64-95,30,-0.08106666853916032
analysis_group_median,amp100_freq5,100,5,Group 96-127,32,-0.10270948229711449
analysis_group_median,amp180_freq26,180,26,Group 0-31,29,0.0327439538160465
analysis_group_median,amp180_freq26,180,26,Group 32-63,28,0.009821236153854756
analysis_group_median,amp180_freq26,180,26,Group 64-95,30,-0.046050540238911065
analysis_group_median,amp180_freq26,180,26,Group 96-127,32,-0.04871920073878053
analysis_group_median,amp180_freq5,180,5,Group 0-31,29,0.15258245607100246
analysis_group_median,amp180_freq5,180,5,Group 32-63,28,0.09068796065724315
analysis_group_median,amp180_freq5,180,5,Group 64-95,30,0.10395825744882245
analysis_group_median,amp180_freq5,180,5,Group 96-127,32,0.14785100958635816
analysis_group_median,amp250_freq26,250,26,Group 0-31,29,-0.12507590639268484
analysis_group_median,amp250_freq26,250,26,Group 32-63,28,-0.14557757614036948
analysis_group_median,amp250_freq26,250,26,Group 64-95,30,-0.1139884893709009
analysis_group_median,amp250_freq26,250,26,Group 96-127,32,-0.14531496395922047
analysis_group_median,amp250_freq5,250,5,Group 0-31,29,-0.03245103931728342
analysis_group_median,amp250_freq5,250,5,Group 32-63,28,-0.01847594524137076
analysis_group_median,amp250_freq5,250,5,Group 64-95,30,-0.02668314036559949
analysis_group_median,amp250_freq5,250,5,Group 96-127,32,-0.039867053350372446
physical_shank_median,amp100_freq26,100,26,Group 0-31,29,0.034989720825189495
physical_shank_median,amp100_freq26,100,26,Group 32-63,28,0.03961604601665453
physical_shank_median,amp100_freq26,100,26,Group 64-95,30,0.023532457188170798
physical_shank_median,amp100_freq26,100,26,Group 96-127,32,0.03489903265389011
physical_shank_median,amp100_freq5,100,5,Group 0-31,29,-0.12144625965122799
physical_shank_median,amp100_freq5,100,5,Group 32-63,28,-0.10785085350067572
physical_shank_median,amp100_freq5,100,5,Group 64-95,30,-0.0686412959986908
physical_shank_median,amp100_freq5,100,5,Group 96-127,32,-0.10411258863364418
physical_shank_median,amp180_freq26,180,26,Group 0-31,29,-0.011750706640591324
physical_shank_median,amp180_freq26,180,26,Group 32-63,28,-0.004894393173436832
physical_shank_median,amp180_freq26,180,26,Group 64-95,30,-0.0771661030053719
physical_shank_median,amp180_freq26,180,26,Group 96-127,32,-0.033872737431974095
physical_shank_median,amp180_freq5,180,5,Group 0-31,29,0.12966717629110666
physical_shank_median,amp180_freq5,180,5,Group 32-63,28,0.098749103032394
physical_shank_median,amp180_freq5,180,5,Group 64-95,30,0.11101262382006585
physical_shank_median,amp180_freq5,180,5,Group 96-127,32,0.15987922097447424
physical_shank_median,amp250_freq26,250,26,Group 0-31,29,-0.134320477477115
physical_shank_median,amp250_freq26,250,26,Group 32-63,28,-0.14751422305076162
physical_shank_median,amp250_freq26,250,26,Group 64-95,30,-0.1229373217774616
physical_shank_median,amp250_freq26,250,26,Group 96-127,32,-0.12236512771937183
physical_shank_median,amp250_freq5,250,5,Group 0-31,29,-0.025824777481281008
physical_shank_median,amp250_freq5,250,5,Group 32-63,28,-0.02017210932739017
physical_shank_median,amp250_freq5,250,5,Group 64-95,30,-0.02662823643426652
physical_shank_median,amp250_freq5,250,5,Group 96-127,32,-0.03032834526485977
raw,amp100_freq26,100,26,Group 0-31,29,0.03947198154435066
raw,amp100_freq26,100,26,Group 32-63,28,-0.02761180792853867
raw,amp100_freq26,100,26,Group 64-95,30,-0.044120817553053644
raw,amp100_freq26,100,26,Group 96-127,32,-0.019268153996431562
raw,amp100_freq5,100,5,Group 0-31,29,-0.11481495036205075
raw,amp100_freq5,100,5,Group 32-63,28,-0.08109785423546456
raw,amp100_freq5,100,5,Group 64-95,30,-0.06246657841106116
raw,amp100_freq5,100,5,Group 96-127,32,-0.07310887896674412
raw,amp180_freq26,180,26,Group 0-31,29,-0.005893199364427037
raw,amp180_freq26,180,26,Group 32-63,28,-0.08529716025727256
raw,amp180_freq26,180,26,Group 64-95,30,-0.0790733938619768
raw,amp180_freq26,180,26,Group 96-127,32,-0.07486836963776003
raw,amp180_freq5,180,5,Group 0-31,29,0.12448250849519155
raw,amp180_freq5,180,5,Group 32-63,28,0.14898039124565793
raw,amp180_freq5,180,5,Group 64-95,30,0.1296279892693955
raw,amp180_freq5,180,5,Group 96-127,32,0.14138727459348688
raw,amp250_freq26,250,26,Group 0-31,29,-0.12656665137910686
raw,amp250_freq26,250,26,Group 32-63,28,-0.17477490226021541
raw,amp250_freq26,250,26,Group 64-95,30,-0.14835445601438996
raw,amp250_freq26,250,26,Group 96-127,32,-0.13038230976595686
raw,amp250_freq5,250,5,Group 0-31,29,-0.022426845992842875
raw,amp250_freq5,250,5,Group 32-63,28,-0.06269403918127339
raw,amp250_freq5,250,5,Group 64-95,30,-0.06679360371655294
raw,amp250_freq5,250,5,Group 96-127,32,-0.08488995722868423
