unit_set,condition,n_units,mean_unit_delta_hz,sem_unit_delta_hz,median_unit_delta_hz,n_units_on_gt_off,n_units_on_lt_off,n_responsive_q05
all_units,amp100_freq10,102,-0.048790849673202616,0.015977469577654987,-0.013333333333333312,47,55,0
all_units,amp100_freq26,102,0.07241830065359477,0.017975251294522775,0.0675,78,24,1
all_units,amp100_freq5,102,0.1628104575163399,0.01868311975958484,0.10583333333333335,93,9,1
all_units,amp100_freq50,102,0.36034313725490197,0.04651160982700963,0.2341666666666667,92,10,20
all_units,amp180_freq10,102,-0.005947712418300653,0.016464435239481684,-0.014166666666666664,45,57,0
all_units,amp180_freq26,102,0.3532352941176471,0.05397933934265521,0.22166666666666668,89,13,8
all_units,amp180_freq5,102,0.3733333333333333,0.0470418536994696,0.19083333333333333,96,6,1
all_units,amp180_freq50,102,0.08967320261437907,0.03978163366457732,0.12916666666666665,77,25,5
all_units,amp250_freq10,102,0.334281045751634,0.045647099681060274,0.17166666666666666,93,9,0
all_units,amp250_freq26,102,0.04480392156862743,0.026199016284987192,0.04666666666666666,76,26,3
all_units,amp250_freq5,102,0.33075163398692814,0.04004395751323785,0.2316666666666667,94,8,1
all_units,amp250_freq50,102,0.7158986928104577,0.09827051396349293,0.4875,91,11,58
ks_good_units,amp100_freq10,12,-0.04347222222222222,0.05499252257608943,-0.009166666666666667,5,7,0
ks_good_units,amp100_freq26,12,-0.11611111111111111,0.10101511982481187,-0.01333333333333334,4,8,1
ks_good_units,amp100_freq5,12,0.12652777777777774,0.07128848370986773,0.017499999999999995,8,4,0
ks_good_units,amp100_freq50,12,0.06652777777777774,0.08863571703266407,0.005833333333333337,6,6,1
ks_good_units,amp180_freq10,12,0.08611111111111112,0.07582274133302468,0.033333333333333326,7,5,0
ks_good_units,amp180_freq26,12,-0.0976388888888889,0.09064941957851377,-0.05666666666666666,4,8,1
ks_good_units,amp180_freq5,12,0.03944444444444444,0.032515428436663,0.022500000000000006,8,4,0
ks_good_units,amp180_freq50,12,-0.12486111111111108,0.2232331920003434,-0.04916666666666668,3,9,3
ks_good_units,amp250_freq10,12,0.17958333333333332,0.13696200611676446,-0.010833333333333335,6,6,0
ks_good_units,amp250_freq26,12,-0.13555555555555557,0.09295996145234302,-0.04916666666666668,3,9,0
ks_good_units,amp250_freq5,12,0.1798611111111111,0.09067611227474139,0.05583333333333333,9,3,0
ks_good_units,amp250_freq50,12,0.10916666666666669,0.18838478111985524,-0.11333333333333334,4,8,2
